guid,CustomerDevelopmentScore,PerformancedScore,LivenessScore,totalScore,CustomerDevelopmentScoreRadar,PerformancedScoreRadar,LivenessScoreRadar,totalScoreRadar,BrokerLevelFlag,update_time
1276401054468153347,0,0,0,0,92,94,10,90,S,2020-12-22
1289848418465882116,0,0,0,0,92,94,10,89,S,2020-12-22
1276347411270344706,0,0,0,0,91,94,10,89,S,2020-12-22
1276413503837708295,0,0,0,0,92,92,27,89,S,2020-12-22
1276391605259083792,0,0,0,0,93,93,10,89,S,2020-12-22
1276379303558389779,0,0,0,0,89,93,10,88,S,2020-12-22
1276393463654522890,0,0,0,0,89,93,10,88,S,2020-12-22
1276348735034630152,0,0,0,0,89,93,10,88,S,2020-12-22
1276349027662831617,0,0,0,0,89,93,10,88,S,2020-12-22
1276409964654632970,0,0,0,0,88,93,10,88,S,2020-12-22
1276345237870092305,0,0,0,0,88,93,10,87,S,2020-12-22
1276388461846339587,0,0,0,0,89,92,10,87,S,2020-12-22
1276381529219670017,0,0,0,0,87,92,10,87,S,2020-12-22
1276339512351531009,0,0,0,0,86,92,10,86,S,2020-12-22
1276349854477590536,0,0,0,0,86,92,10,86,S,2020-12-22
1276347329447862279,0,0,0,0,86,92,10,86,S,2020-12-22
1276354232768929807,0,0,0,0,92,88,10,85,S,2020-12-22
1276358265978101765,0,0,0,0,84,91,10,85,S,2020-12-22
1276408465228701698,0,0,0,0,83,90,10,85,S,2020-12-22
1276378961286406146,0,0,0,0,82,89,10,83,S,2020-12-22
1276339374400872459,0,0,0,0,80,88,10,82,S,2020-12-22
1276365576666750982,0,0,0,0,68,86,10,78,S,2020-12-22
1310398830893735937,0,0,0,0,95,52,93,65,D,2020-12-22
1276361063738253326,0,0,0,0,95,52,91,65,D,2020-12-22
1276415253403541505,0,0,0,0,95,52,85,64,D,2020-12-22
1284427701368791040,0,0,0,0,95,52,79,64,D,2020-12-22
1276358443413938180,0,0,0,0,95,52,67,63,D,2020-12-22
1296069412176142339,0,0,0,0,94,52,64,63,D,2020-12-22
1276372725312659472,0,0,0,0,90,52,71,62,D,2020-12-22
1276370193588822034,0,0,0,0,90,52,52,62,D,2020-12-22
1282223178600554496,0,0,0,0,95,52,29,61,C,2020-12-22
1305476396465922054,0,0,0,0,95,52,19,61,C,2020-12-22
1336516028152090626,0,0,0,0,82,52,83,61,D,2020-12-22
1276404832508452865,0,0,0,0,94,52,15,61,C,2020-12-22
1276398979638239232,0,0,0,0,81,52,77,61,D,2020-12-22
1300312367078449155,0,0,0,0,95,52,10,61,C,2020-12-22
1277898695425269761,0,0,0,0,95,52,10,61,C,2020-12-22
1282963081428869120,0,0,0,0,95,52,10,61,C,2020-12-22
1286300037483208705,0,0,0,0,95,52,10,61,C,2020-12-22
1276343447158136833,0,0,0,0,95,52,10,61,C,2020-12-22
1276340191950413830,0,0,0,0,94,52,10,60,C,2020-12-22
1276367185866006540,0,0,0,0,94,52,10,60,C,2020-12-22
1276348136813633541,0,0,0,0,94,52,10,60,C,2020-12-22
1276376041933381633,0,0,0,0,94,52,10,60,C,2020-12-22
1306125672942542849,0,0,0,0,94,52,10,60,C,2020-12-22
1276360955130945554,0,0,0,0,94,52,10,60,C,2020-12-22
1276354016217014272,0,0,0,0,94,52,10,60,C,2020-12-22
1276416015282085890,0,0,0,0,94,52,10,60,C,2020-12-22
1276348358981722118,0,0,0,0,94,52,10,60,C,2020-12-22
1276343227829592080,0,0,0,0,94,52,10,60,C,2020-12-22
1276349396954521605,0,0,0,0,94,52,10,60,C,2020-12-22
1276413516626141196,0,0,0,0,94,52,10,60,C,2020-12-22
1313735820234072072,0,0,0,0,94,52,10,60,C,2020-12-22
1276390272208609283,0,0,0,0,93,52,10,60,C,2020-12-22
1281483300111785990,0,0,0,0,93,52,10,60,C,2020-12-22
1321300664130871298,0,0,0,0,79,52,81,60,D,2020-12-22
1276344384220176402,0,0,0,0,80,52,75,60,D,2020-12-22
1280350836656054273,0,0,0,0,92,52,10,60,C,2020-12-22
1288157285876637697,0,0,0,0,92,52,10,60,C,2020-12-22
1332236834891005953,0,0,0,0,80,52,69,60,D,2020-12-22
1276351068942508046,0,0,0,0,91,52,10,60,C,2020-12-22
1276381087702065169,0,0,0,0,85,52,40,60,C,2020-12-22
1276384616634261506,0,0,0,0,91,52,10,60,C,2020-12-22
1276342546645262342,0,0,0,0,91,52,10,60,C,2020-12-22
1281136012101296130,0,0,0,0,91,52,10,60,C,2020-12-22
1276371511116177408,0,0,0,0,91,52,10,60,C,2020-12-22
1276342629612789770,0,0,0,0,91,52,10,60,C,2020-12-22
1276368422636232708,0,0,0,0,91,52,10,60,C,2020-12-22
1276412565135695872,0,0,0,0,91,52,10,60,C,2020-12-22
1276375500490678283,0,0,0,0,91,52,10,60,C,2020-12-22
1276341444055015432,0,0,0,0,91,52,10,60,C,2020-12-22
1276382497302781963,0,0,0,0,91,52,10,60,C,2020-12-22
1276410176496345098,0,0,0,0,91,52,10,60,C,2020-12-22
1276388662908690434,0,0,0,0,91,52,10,60,C,2020-12-22
1276411829266030593,0,0,0,0,91,52,10,60,C,2020-12-22
1276384669847396359,0,0,0,0,91,52,10,60,C,2020-12-22
1276381166370430994,0,0,0,0,91,52,10,60,C,2020-12-22
1276347753538134017,0,0,0,0,90,52,10,59,C,2020-12-22
1276373723678646286,0,0,0,0,90,52,10,59,C,2020-12-22
1276413339429380096,0,0,0,0,90,52,10,59,C,2020-12-22
1276357783574421504,0,0,0,0,90,52,10,59,C,2020-12-22
1276339364699447303,0,0,0,0,90,52,10,59,C,2020-12-22
1276384344818196492,0,0,0,0,90,52,10,59,C,2020-12-22
1326796880860028931,0,0,0,0,79,52,66,59,D,2020-12-22
1276340994333351949,0,0,0,0,90,52,10,59,C,2020-12-22
1321330863513935881,0,0,0,0,79,52,56,59,D,2020-12-22
1276381139774349319,0,0,0,0,83,52,10,58,C,2020-12-22
1309689157420982279,0,0,0,0,81,52,10,57,C,2020-12-22
1276369388936765451,0,0,0,0,68,52,62,56,D,2020-12-22
1276370607067504642,0,0,0,0,70,52,23,55,C,2020-12-22
1290935582113013760,0,0,0,0,48,52,73,52,A,2020-12-22
1290844993065459715,0,0,0,0,48,52,60,51,A,2020-12-22
1339117162230394881,0,0,0,0,48,52,58,51,A,2020-12-22
1276382240074506253,0,0,0,0,48,52,54,51,A,2020-12-22
1338378844945453058,0,0,0,0,48,52,50,51,A,2020-12-22
1340911261616791554,0,0,0,0,48,52,48,51,A,2020-12-22
1338092650185515010,0,0,0,0,48,52,46,51,A,2020-12-22
